dataset,formalism,rank,selected_fewshot,distance
ByteArrayOutputStream_FlushBeforeRetrieve,fsm,1,fsm_03.json,17.995647
ByteArrayOutputStream_FlushBeforeRetrieve,fsm,2,fsm_02.json,25.809097
ByteArrayOutputStream_FlushBeforeRetrieve,fsm,3,fsm_01.json,11.472682
PipedInputStream_UnconnectedRead,fsm,1,fsm_01.json,21.436970
PipedInputStream_UnconnectedRead,fsm,2,fsm_02.json,18.933201
PipedInputStream_UnconnectedRead,fsm,3,fsm_04.json,6.340138
PipedOutputStream_UnconnectedWrite,fsm,1,fsm_01.json,21.436970
PipedOutputStream_UnconnectedWrite,fsm,2,fsm_02.json,18.933201
PipedOutputStream_UnconnectedWrite,fsm,3,fsm_05.json,9.204462
StreamTokenizer_AccessInvalidField,fsm,1,fsm_01.json,9.878852
StreamTokenizer_AccessInvalidField,fsm,2,fsm_02.json,26.491319
StreamTokenizer_AccessInvalidField,fsm,3,fsm_05.json,12.083207
ShutdownHook_PrematureStart,fsm,1,fsm_05.json,12.075552
ShutdownHook_PrematureStart,fsm,2,fsm_04.json,17.546994
ShutdownHook_PrematureStart,fsm,3,fsm_01.json,28.152635
ShutdownHook_SystemExit,fsm,1,fsm_05.json,11.163002
ShutdownHook_SystemExit,fsm,2,fsm_02.json,12.735393
ShutdownHook_SystemExit,fsm,3,fsm_03.json,2.367561
ShutdownHook_UnsafeAWTCall,fsm,1,fsm_03.json,2.367561
ShutdownHook_UnsafeAWTCall,fsm,2,fsm_04.json,7.961659
ShutdownHook_UnsafeAWTCall,fsm,3,fsm_05.json,11.163002
ShutdownHook_UnsafeSwingCall,fsm,1,fsm_03.json,5.655938
ShutdownHook_UnsafeSwingCall,fsm,2,fsm_04.json,11.468242
ShutdownHook_UnsafeSwingCall,fsm,3,fsm_05.json,9.948889
Socket_SetTimeoutBeforeBlockingInput,fsm,1,fsm_05.json,2.655693
Socket_SetTimeoutBeforeBlockingInput,fsm,2,fsm_03.json,12.362742
Socket_SetTimeoutBeforeBlockingInput,fsm,3,fsm_02.json,22.948780
Socket_SetTimeoutBeforeBlockingOutput,fsm,1,fsm_02.json,22.948780
Socket_SetTimeoutBeforeBlockingOutput,fsm,2,fsm_03.json,12.362742
Socket_SetTimeoutBeforeBlockingOutput,fsm,3,fsm_01.json,13.421391
Arrays_SortBeforeBinarySearch,fsm,1,fsm_01.json,9.746033
Arrays_SortBeforeBinarySearch,fsm,2,fsm_02.json,26.624138
Arrays_SortBeforeBinarySearch,fsm,3,fsm_04.json,18.031075
Collections_SortBeforeBinarySearch,fsm,1,fsm_01.json,9.746033
Collections_SortBeforeBinarySearch,fsm,2,fsm_04.json,18.031075
Collections_SortBeforeBinarySearch,fsm,3,fsm_02.json,26.624138
ListIterator_hasNextPrevious,fsm,1,fsm_02.json,36.370171
ListIterator_hasNextPrevious,fsm,2,fsm_03.json,25.784133
ListIterator_hasNextPrevious,fsm,3,fsm_01.json,0.000000
