dataset,formalism,rank,selected_fewshot,distance
Closeable_MeaninglessClose,event,1,event_06.json,6.000000
File_LengthOnDirectory,event,1,event_06.json,3.000000
InputStream_MarkReset,event,1,event_01.json,3.000000
Reader_MarkReset,event,1,event_07.json,13.000000
Serializable_NoArgConstructor,event,1,event_03.json,3.000000
Serializable_UID,event,1,event_03.json,3.000000
Boolean_StaticFactory,event,1,event_01.json,7.000000
Byte_BadDecodeArg,event,1,event_01.json,3.000000
Byte_BadParsingArgs,event,1,event_04.json,5.000000
Byte_StaticFactory,event,1,event_01.json,7.000000
Character_StaticFactory,event,1,event_03.json,3.000000
Character_ValidateChar,event,1,event_07.json,10.000000
CharSequence_NotInMap,event,1,event_03.json,14.000000
CharSequence_NotInSet,event,1,event_05.json,12.000000
CharSequence_UndefinedHashCode,event,1,event_03.json,11.000000
ClassLoader_UnsafeClassDefinition,event,1,event_07.json,12.000000
Comparable_CompareToNull,event,1,event_01.json,0.000000
Comparable_CompareToNullException,event,1,event_06.json,8.000000
Double_StaticFactory,event,1,event_04.json,12.000000
Enum_NoExtraWhiteSpace,event,1,event_05.json,13.000000
Enum_NoOrdinal,event,1,event_01.json,3.000000
Enum_UserFriendlyName,event,1,event_04.json,12.000000
Float_StaticFactory,event,1,event_01.json,7.000000
Integer_BadDecodeArg,event,1,event_05.json,13.000000
Integer_StaticFactory,event,1,event_03.json,3.000000
Long_BadDecodeArg,event,1,event_07.json,9.000000
Long_BadParsingArgs,event,1,event_06.json,7.000000
Long_StaticFactory,event,1,event_05.json,23.000000
Object_MonitorOwner,event,1,event_05.json,9.000000
Object_NoClone,event,1,event_02.json,6.000000
Runnable_OverrideRun,event,1,event_06.json,10.000000
RuntimePermission_NullAction,event,1,event_02.json,7.000000
RuntimePermission_PermName,event,1,event_07.json,16.000000
Short_BadDecodeArg,event,1,event_01.json,3.000000
Short_BadParsingArgs,event,1,event_07.json,10.000000
Short_StaticFactory,event,1,event_02.json,13.000000
String_UseStringBuilder,event,1,event_02.json,13.000000
System_NullArrayCopy,event,1,event_06.json,9.000000
Authenticator_OverrideGetPasswordAuthentication,event,1,event_02.json,13.000000
ContentHandler_GetContent,event,1,event_04.json,12.000000
DatagramPacket_Length,event,1,event_04.json,11.000000
DatagramPacket_SetLength,event,1,event_03.json,7.000000
DatagramSocket_Port,event,1,event_06.json,3.000000
DatagramSocket_SoTimeout,event,1,event_06.json,3.000000
DatagramSocket_TrafficClass,event,1,event_05.json,13.000000
HttpCookie_Domain,event,1,event_02.json,6.000000
HttpCookie_Name,event,1,event_06.json,3.000000
IDN_ToAscii,event,1,event_07.json,12.000000
InetAddress_IsReachable,event,1,event_07.json,10.000000
InetSocketAddress_Port,event,1,event_07.json,12.000000
MulticastSocket_TTL,event,1,event_01.json,7.000000
NetPermission_Actions,event,1,event_02.json,6.000000
NetPermission_Name,event,1,event_07.json,12.000000
ServerSocket_Backlog,event,1,event_07.json,13.000000
ServerSocket_Port,event,1,event_03.json,4.000000
ServerSocket_Timeout,event,1,event_05.json,16.000000
SocketPermission_Actions,event,1,event_02.json,6.000000
Socket_Timeout,event,1,event_05.json,16.000000
Socket_TrafficClass,event,1,event_04.json,6.000000
URLConnection_OverrideGetPermission,event,1,event_02.json,13.000000
URLDecoder_DecodeUTF8,event,1,event_05.json,16.000000
URLEncoder_EncodeUTF8,event,1,event_04.json,9.000000
ArrayDeque_NonNull,event,1,event_07.json,12.000000
Arrays_Comparable,event,1,event_07.json,12.000000
Arrays_DeepHashCode,event,1,event_01.json,0.000000
Arrays_MutuallyComparable,event,1,event_02.json,3.000000
Collections_Comparable,event,1,event_07.json,7.000000
Collections_CopySize,event,1,event_06.json,0.000000
Collections_ImplementComparable,event,1,event_04.json,2.000000
Collections_UnnecessaryNewSetFromMap,event,1,event_05.json,19.000000
Collection_HashCode,event,1,event_03.json,3.000000
Collection_StandardConstructors,event,1,event_05.json,23.000000
Dictionary_NullKeyOrValue,event,1,event_07.json,6.000000
EnumMap_NonNull,event,1,event_03.json,11.000000
EnumSet_NonNull,event,1,event_04.json,2.000000
InvalidPropertiesFormatException_NonSerializable,event,1,event_02.json,6.000000
Map_ItselfAsKey,event,1,event_03.json,20.000000
Map_ItselfAsValue,event,1,event_07.json,4.000000
Map_StandardConstructors,event,1,event_02.json,13.000000
PriorityQueue_NonComparable,event,1,event_03.json,11.000000
PriorityQueue_NonNull,event,1,event_07.json,13.000000
Random_OverrideNext,event,1,event_02.json,13.000000
Set_ItselfAsElement,event,1,event_07.json,7.000000
SortedMap_StandardConstructors,event,1,event_01.json,7.000000
SortedSet_Comparable,event,1,event_07.json,7.000000
SortedSet_StandardConstructors,event,1,event_05.json,23.000000
TreeMap_Comparable,event,1,event_02.json,8.000000
TreeSet_Comparable,event,1,event_06.json,4.000000
Vector_InsertIndex,event,1,event_04.json,6.000000
