dataset,formalism,rank,selected_fewshot,distance
BufferedInputStream_SynchronizedFill,ere,1,ere_03.json,14.000000
BufferedInputStream_SynchronizedFill,ere,2,ere_02.json,26.000000
BufferedInputStream_SynchronizedFill,ere,3,ere_04.json,40.000000
Closeable_MultipleClose,ere,1,ere_03.json,11.000000
Closeable_MultipleClose,ere,2,ere_02.json,17.000000
Closeable_MultipleClose,ere,3,ere_04.json,31.000000
Console_CloseReader,ere,1,ere_03.json,15.000000
Console_CloseReader,ere,2,ere_02.json,19.000000
Console_CloseReader,ere,3,ere_04.json,27.000000
Console_CloseWriter,ere,1,ere_03.json,15.000000
Console_CloseWriter,ere,2,ere_02.json,19.000000
Console_CloseWriter,ere,3,ere_04.json,27.000000
InputStream_ManipulateAfterClose,ere,1,ere_03.json,10.000000
InputStream_ManipulateAfterClose,ere,2,ere_02.json,14.000000
InputStream_ManipulateAfterClose,ere,3,ere_04.json,20.000000
InputStream_MarkAfterClose,ere,1,ere_03.json,9.000000
InputStream_MarkAfterClose,ere,2,ere_02.json,15.000000
InputStream_MarkAfterClose,ere,3,ere_04.json,29.000000
InputStream_ReadAheadLimit,ere,1,ere_05.json,22.000000
InputStream_ReadAheadLimit,ere,2,ere_01.json,44.000000
InputStream_ReadAheadLimit,ere,3,ere_06.json,61.000000
InputStream_UnmarkedReset,ere,1,ere_01.json,11.000000
InputStream_UnmarkedReset,ere,2,ere_04.json,19.000000
InputStream_UnmarkedReset,ere,3,ere_08.json,34.000000
OutputStream_ManipulateAfterClose,ere,1,ere_03.json,15.000000
OutputStream_ManipulateAfterClose,ere,2,ere_02.json,19.000000
OutputStream_ManipulateAfterClose,ere,3,ere_04.json,23.000000
PipedStream_SingleThread,ere,1,ere_05.json,32.000000
PipedStream_SingleThread,ere,2,ere_06.json,55.000000
PipedStream_SingleThread,ere,3,ere_01.json,70.000000
PushbackInputStream_UnreadAheadLimit,ere,1,ere_01.json,35.000000
PushbackInputStream_UnreadAheadLimit,ere,2,ere_05.json,35.000000
PushbackInputStream_UnreadAheadLimit,ere,3,ere_08.json,54.000000
