dataset,formalism,rank,selected_fewshot,distance
ByteArrayOutputStream_FlushBeforeRetrieve,fsm,1,fsm_01.json,11.472682
ByteArrayOutputStream_FlushBeforeRetrieve,fsm,2,fsm_05.json,14.288598
ByteArrayOutputStream_FlushBeforeRetrieve,fsm,3,fsm_04.json,14.374224
PipedInputStream_UnconnectedRead,fsm,1,fsm_04.json,6.340138
PipedInputStream_UnconnectedRead,fsm,2,fsm_05.json,9.204462
PipedInputStream_UnconnectedRead,fsm,3,fsm_03.json,10.073255
PipedOutputStream_UnconnectedWrite,fsm,1,fsm_04.json,6.340138
PipedOutputStream_UnconnectedWrite,fsm,2,fsm_05.json,9.204462
PipedOutputStream_UnconnectedWrite,fsm,3,fsm_03.json,10.073255
StreamTokenizer_AccessInvalidField,fsm,1,fsm_01.json,9.878852
StreamTokenizer_AccessInvalidField,fsm,2,fsm_05.json,12.083207
StreamTokenizer_AccessInvalidField,fsm,3,fsm_04.json,20.941421
ShutdownHook_PrematureStart,fsm,1,fsm_02.json,8.217535
ShutdownHook_PrematureStart,fsm,2,fsm_03.json,8.368503
ShutdownHook_PrematureStart,fsm,3,fsm_05.json,12.075552
ShutdownHook_SystemExit,fsm,1,fsm_03.json,2.367561
ShutdownHook_SystemExit,fsm,2,fsm_04.json,7.961659
ShutdownHook_SystemExit,fsm,3,fsm_05.json,11.163002
ShutdownHook_UnsafeAWTCall,fsm,1,fsm_03.json,2.367561
ShutdownHook_UnsafeAWTCall,fsm,2,fsm_04.json,7.961659
ShutdownHook_UnsafeAWTCall,fsm,3,fsm_05.json,11.163002
ShutdownHook_UnsafeSwingCall,fsm,1,fsm_03.json,5.655938
ShutdownHook_UnsafeSwingCall,fsm,2,fsm_05.json,9.948889
ShutdownHook_UnsafeSwingCall,fsm,3,fsm_04.json,11.468242
Socket_SetTimeoutBeforeBlockingInput,fsm,1,fsm_05.json,2.655693
Socket_SetTimeoutBeforeBlockingInput,fsm,2,fsm_03.json,12.362742
Socket_SetTimeoutBeforeBlockingInput,fsm,3,fsm_04.json,12.629625
Socket_SetTimeoutBeforeBlockingOutput,fsm,1,fsm_05.json,2.655693
Socket_SetTimeoutBeforeBlockingOutput,fsm,2,fsm_03.json,12.362742
Socket_SetTimeoutBeforeBlockingOutput,fsm,3,fsm_04.json,12.629625
Arrays_SortBeforeBinarySearch,fsm,1,fsm_05.json,8.057143
Arrays_SortBeforeBinarySearch,fsm,2,fsm_01.json,9.746033
Arrays_SortBeforeBinarySearch,fsm,3,fsm_03.json,17.764192
Collections_SortBeforeBinarySearch,fsm,1,fsm_05.json,8.057143
Collections_SortBeforeBinarySearch,fsm,2,fsm_01.json,9.746033
Collections_SortBeforeBinarySearch,fsm,3,fsm_03.json,17.764192
ListIterator_hasNextPrevious,fsm,1,fsm_01.json,0.000000
ListIterator_hasNextPrevious,fsm,2,fsm_05.json,16.077084
ListIterator_hasNextPrevious,fsm,3,fsm_04.json,24.935298
