spec_id,provider,model,strategy,shot_mode,domain,formalism,exact_match
BufferedInputStream_SynchronizedFill,mock,mock-model,random,few_k3,io,ere,1
ByteArrayOutputStream_FlushBeforeRetrieve,mock,mock-model,random,few_k3,io,fsm,0
Closeable_MeaninglessClose,mock,mock-model,random,few_k3,io,event,0
Closeable_MultipleClose,mock,mock-model,random,few_k3,io,ere,0
Console_CloseReader,mock,mock-model,random,few_k3,io,ere,0
Console_CloseWriter,mock,mock-model,random,few_k3,io,ere,0
Console_FillZeroPassword,mock,mock-model,random,few_k3,io,ltl,0
File_DeleteTempFile,mock,mock-model,random,few_k3,io,ltl,0
File_LengthOnDirectory,mock,mock-model,random,few_k3,io,event,0
InputStream_ManipulateAfterClose,mock,mock-model,random,few_k3,io,ere,0
InputStream_MarkAfterClose,mock,mock-model,random,few_k3,io,ere,0
InputStream_MarkReset,mock,mock-model,random,few_k3,io,event,0
InputStream_ReadAheadLimit,mock,mock-model,random,few_k3,io,ere,0
InputStream_UnmarkedReset,mock,mock-model,random,few_k3,io,ere,0
ObjectInput_Close,mock,mock-model,random,few_k3,io,ltl,0
ObjectOutput_Close,mock,mock-model,random,few_k3,io,ltl,0
ObjectStreamClass_Initialize,mock,mock-model,random,few_k3,io,ltl,0
OutputStream_ManipulateAfterClose,mock,mock-model,random,few_k3,io,ere,0
PipedInputStream_UnconnectedRead,mock,mock-model,random,few_k3,io,fsm,0
PipedOutputStream_UnconnectedWrite,mock,mock-model,random,few_k3,io,fsm,0
PipedStream_SingleThread,mock,mock-model,random,few_k3,io,ere,0
PushbackInputStream_UnreadAheadLimit,mock,mock-model,random,few_k3,io,ere,0
RandomAccessFile_ManipulateAfterClose,mock,mock-model,random,few_k3,io,ere,0
Reader_ManipulateAfterClose,mock,mock-model,random,few_k3,io,ere,0
Reader_MarkReset,mock,mock-model,random,few_k3,io,event,0
Reader_ReadAheadLimit,mock,mock-model,random,few_k3,io,ere,0
Reader_UnmarkedReset,mock,mock-model,random,few_k3,io,ere,0
Serializable_NoArgConstructor,mock,mock-model,random,few_k3,io,event,0
Serializable_UID,mock,mock-model,random,few_k3,io,event,0
StreamTokenizer_AccessInvalidField,mock,mock-model,random,few_k3,io,fsm,0
Writer_ManipulateAfterClose,mock,mock-model,random,few_k3,io,ere,0
Appendable_ThreadSafe,mock,mock-model,random,few_k3,lang,ere,0
Boolean_StaticFactory,mock,mock-model,random,few_k3,lang,event,0
Byte_BadDecodeArg,mock,mock-model,random,few_k3,lang,event,0
Byte_BadParsingArgs,mock,mock-model,random,few_k3,lang,event,0
Byte_StaticFactory,mock,mock-model,random,few_k3,lang,event,0
Character_StaticFactory,mock,mock-model,random,few_k3,lang,event,0
Character_ValidateChar,mock,mock-model,random,few_k3,lang,event,0
CharSequence_NotInMap,mock,mock-model,random,few_k3,lang,event,0
CharSequence_NotInSet,mock,mock-model,random,few_k3,lang,event,0
CharSequence_UndefinedHashCode,mock,mock-model,random,few_k3,lang,event,0
ClassLoader_UnsafeClassDefinition,mock,mock-model,random,few_k3,lang,event,0
Comparable_CompareToNull,mock,mock-model,random,few_k3,lang,event,0
Comparable_CompareToNullException,mock,mock-model,random,few_k3,lang,event,0
Double_StaticFactory,mock,mock-model,random,few_k3,lang,event,0
Enum_NoExtraWhiteSpace,mock,mock-model,random,few_k3,lang,event,0
Enum_NoOrdinal,mock,mock-model,random,few_k3,lang,event,0
Enum_UserFriendlyName,mock,mock-model,random,few_k3,lang,event,0
Float_StaticFactory,mock,mock-model,random,few_k3,lang,event,0
Integer_BadDecodeArg,mock,mock-model,random,few_k3,lang,event,0
Integer_StaticFactory,mock,mock-model,random,few_k3,lang,event,0
Long_BadDecodeArg,mock,mock-model,random,few_k3,lang,event,0
Long_BadParsingArgs,mock,mock-model,random,few_k3,lang,event,0
Long_StaticFactory,mock,mock-model,random,few_k3,lang,event,0
Math_ContendedRandom,mock,mock-model,random,few_k3,lang,ere,0
Object_MonitorOwner,mock,mock-model,random,few_k3,lang,event,0
Object_NoClone,mock,mock-model,random,few_k3,lang,event,0
ProcessBuilder_NullKeyOrValue,mock,mock-model,random,few_k3,lang,ere,0
ProcessBuilder_ThreadSafe,mock,mock-model,random,few_k3,lang,ere,0
Runnable_OverrideRun,mock,mock-model,random,few_k3,lang,event,0
RuntimePermission_NullAction,mock,mock-model,random,few_k3,lang,event,0
RuntimePermission_PermName,mock,mock-model,random,few_k3,lang,event,0
SecurityManager_Permission,mock,mock-model,random,few_k3,lang,ere,0
Short_BadDecodeArg,mock,mock-model,random,few_k3,lang,event,0
Short_BadParsingArgs,mock,mock-model,random,few_k3,lang,event,0
Short_StaticFactory,mock,mock-model,random,few_k3,lang,event,0
ShutdownHook_LateRegister,mock,mock-model,random,few_k3,lang,ere,0
ShutdownHook_PrematureStart,mock,mock-model,random,few_k3,lang,fsm,0
ShutdownHook_SystemExit,mock,mock-model,random,few_k3,lang,fsm,0
ShutdownHook_UnsafeAWTCall,mock,mock-model,random,few_k3,lang,fsm,0
ShutdownHook_UnsafeSwingCall,mock,mock-model,random,few_k3,lang,fsm,0
StrictMath_ContendedRandom,mock,mock-model,random,few_k3,lang,ere,0
StringBuffer_SingleThreadUsage,mock,mock-model,random,few_k3,lang,ere,0
StringBuilder_ThreadSafe,mock,mock-model,random,few_k3,lang,ere,0
String_UseStringBuilder,mock,mock-model,random,few_k3,lang,event,0
System_NullArrayCopy,mock,mock-model,random,few_k3,lang,event,0
System_WrongKeyOrValue,mock,mock-model,random,few_k3,lang,ere,0
Thread_SetDaemonBeforeStart,mock,mock-model,random,few_k3,lang,ere,0
Thread_StartOnce,mock,mock-model,random,few_k3,lang,ere,0
Throwable_InitCauseOnce,mock,mock-model,random,few_k3,lang,ere,0
Authenticator_OverrideGetPasswordAuthentication,mock,mock-model,random,few_k3,net,event,0
ContentHandler_GetContent,mock,mock-model,random,few_k3,net,event,0
DatagramPacket_Length,mock,mock-model,random,few_k3,net,event,0
DatagramPacket_SetLength,mock,mock-model,random,few_k3,net,event,0
DatagramSocket_Port,mock,mock-model,random,few_k3,net,event,0
DatagramSocket_SoTimeout,mock,mock-model,random,few_k3,net,event,0
DatagramSocket_TrafficClass,mock,mock-model,random,few_k3,net,event,0
HttpCookie_Domain,mock,mock-model,random,few_k3,net,event,0
HttpCookie_Name,mock,mock-model,random,few_k3,net,event,0
HttpURLConnection_SetBeforeConnect,mock,mock-model,random,few_k3,net,ere,0
IDN_ToAscii,mock,mock-model,random,few_k3,net,event,0
InetAddress_IsReachable,mock,mock-model,random,few_k3,net,event,0
InetSocketAddress_Port,mock,mock-model,random,few_k3,net,event,0
MulticastSocket_TTL,mock,mock-model,random,few_k3,net,event,0
NetPermission_Actions,mock,mock-model,random,few_k3,net,event,0
NetPermission_Name,mock,mock-model,random,few_k3,net,event,0
PasswordAuthentication_FillZeroPassword,mock,mock-model,random,few_k3,net,ltl,0
ServerSocket_Backlog,mock,mock-model,random,few_k3,net,event,0
ServerSocket_LargeReceiveBuffer,mock,mock-model,random,few_k3,net,ere,0
ServerSocket_PerformancePreferences,mock,mock-model,random,few_k3,net,ere,0
ServerSocket_Port,mock,mock-model,random,few_k3,net,event,0
ServerSocket_ReuseAddress,mock,mock-model,random,few_k3,net,ere,0
ServerSocket_SetTimeoutBeforeBlocking,mock,mock-model,random,few_k3,net,ere,0
ServerSocket_Timeout,mock,mock-model,random,few_k3,net,event,0
SocketImpl_CloseOutput,mock,mock-model,random,few_k3,net,ere,0
SocketPermission_Actions,mock,mock-model,random,few_k3,net,event,0
Socket_CloseInput,mock,mock-model,random,few_k3,net,ere,0
Socket_CloseOutput,mock,mock-model,random,few_k3,net,ere,0
Socket_InputStreamUnavailable,mock,mock-model,random,few_k3,net,ere,0
Socket_LargeReceiveBuffer,mock,mock-model,random,few_k3,net,ere,0
Socket_OutputStreamUnavailable,mock,mock-model,random,few_k3,net,ere,0
Socket_PerformancePreferences,mock,mock-model,random,few_k3,net,ere,0
Socket_ReuseAddress,mock,mock-model,random,few_k3,net,ere,0
Socket_ReuseSocket,mock,mock-model,random,few_k3,net,ere,0
Socket_SetTimeoutBeforeBlockingInput,mock,mock-model,random,few_k3,net,fsm,0
Socket_SetTimeoutBeforeBlockingOutput,mock,mock-model,random,few_k3,net,fsm,0
Socket_Timeout,mock,mock-model,random,few_k3,net,event,0
Socket_TrafficClass,mock,mock-model,random,few_k3,net,event,0
URLConnection_Connect,mock,mock-model,random,few_k3,net,ere,0
