spec_id,baseline_path,llm_path,provider,model,strategy
BufferedInputStream_SynchronizedFill,nl2spec\datasets\baseline_ir\io\BufferedInputStream_SynchronizedFill.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\ere\BufferedInputStream_SynchronizedFill.json,mock,mock-model,random
ByteArrayOutputStream_FlushBeforeRetrieve,nl2spec\datasets\baseline_ir\io\ByteArrayOutputStream_FlushBeforeRetrieve.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\fsm\ByteArrayOutputStream_FlushBeforeRetrieve.json,mock,mock-model,random
Closeable_MeaninglessClose,nl2spec\datasets\baseline_ir\io\Closeable_MeaninglessClose.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\Closeable_MeaninglessClose.json,mock,mock-model,random
Closeable_MultipleClose,nl2spec\datasets\baseline_ir\io\Closeable_MultipleClose.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\ere\Closeable_MultipleClose.json,mock,mock-model,random
Console_CloseReader,nl2spec\datasets\baseline_ir\io\Console_CloseReader.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ere\Console_CloseReader.json,mock,mock-model,random
Console_CloseWriter,nl2spec\datasets\baseline_ir\io\Console_CloseWriter.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\Console_CloseWriter.json,mock,mock-model,random
Console_FillZeroPassword,nl2spec\datasets\baseline_ir\io\Console_FillZeroPassword.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ltl\Console_FillZeroPassword.json,mock,mock-model,random
File_DeleteTempFile,nl2spec\datasets\baseline_ir\io\File_DeleteTempFile.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\ltl\File_DeleteTempFile.json,mock,mock-model,random
File_LengthOnDirectory,nl2spec\datasets\baseline_ir\io\File_LengthOnDirectory.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\File_LengthOnDirectory.json,mock,mock-model,random
InputStream_ManipulateAfterClose,nl2spec\datasets\baseline_ir\io\InputStream_ManipulateAfterClose.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\ere\InputStream_ManipulateAfterClose.json,mock,mock-model,random
InputStream_MarkAfterClose,nl2spec\datasets\baseline_ir\io\InputStream_MarkAfterClose.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\InputStream_MarkAfterClose.json,mock,mock-model,random
InputStream_MarkReset,nl2spec\datasets\baseline_ir\io\InputStream_MarkReset.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\event\InputStream_MarkReset.json,mock,mock-model,random
InputStream_ReadAheadLimit,nl2spec\datasets\baseline_ir\io\InputStream_ReadAheadLimit.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ere\InputStream_ReadAheadLimit.json,mock,mock-model,random
