id,provider,model,selection,shot_mode,k,domain,ir_type,start_timestamp,end_timestamp,generation_time_ms
Appendable_ThreadSafe,mock,mock-model,random,few,3,net,ere,1772371826.921208,1772371826.92321,2.002
ArrayDeque_UnsafeIterator,mock,mock-model,random,few,3,lang,ere,1772371826.9272509,1772371826.9282088,0.958
BufferedInputStream_SynchronizedFill,mock,mock-model,random,few,3,lang,ere,1772371826.9343452,1772371826.9343452,0.0
Closeable_MultipleClose,mock,mock-model,random,few,3,net,ere,1772371826.9372118,1772371826.9372118,0.0
Collections_NewSetFromMap,mock,mock-model,random,few,3,lang,ere,1772371826.9412105,1772371826.9412105,0.0
Collections_SynchronizedCollection,mock,mock-model,random,few,3,io,ere,1772371826.9452095,1772371826.9462092,1.0
Collections_SynchronizedMap,mock,mock-model,random,few,3,io,ere,1772371826.951216,1772371826.951216,0.0
Collection_UnsafeIterator,mock,mock-model,random,few,3,lang,ere,1772371826.9542093,1772371826.9554005,1.191
Collection_UnsynchronizedAddAll,mock,mock-model,random,few,3,net,ere,1772371826.9592094,1772371826.9602108,1.001
Console_CloseReader,mock,mock-model,random,few,3,util,ere,1772371826.9633048,1772371826.9642107,0.906
Console_CloseWriter,mock,mock-model,random,few,3,lang,ere,1772371826.9672084,1772371826.9682777,1.069
Deque_OfferRatherThanAdd,mock,mock-model,random,few,3,util,ere,1772371826.970209,1772371826.9716835,1.475
Dictionary_Obsolete,mock,mock-model,random,few,3,net,ere,1772371826.9752088,1772371826.9752088,0.0
Enumeration_Obsolete,mock,mock-model,random,few,3,lang,ere,1772371826.979208,1772371826.979208,0.0
HttpURLConnection_SetBeforeConnect,mock,mock-model,random,few,3,lang,ere,1772371826.9822268,1772371826.9822268,0.0
InputStream_ManipulateAfterClose,mock,mock-model,random,few,3,net,ere,1772371826.9852097,1772371826.9862084,0.999
InputStream_MarkAfterClose,mock,mock-model,random,few,3,lang,ere,1772371826.9897335,1772371826.990209,0.476
InputStream_ReadAheadLimit,mock,mock-model,random,few,3,util,ere,1772371826.9922087,1772371826.9932084,1.0
InputStream_UnmarkedReset,mock,mock-model,random,few,3,io,ere,1772371826.9972138,1772371826.9972138,0.0
Iterator_RemoveOnce,mock,mock-model,random,few,3,io,ere,1772371827.000208,1772371827.0012078,1.0
ListIterator_RemoveOnce,mock,mock-model,random,few,3,lang,ere,1772371827.0032117,1772371827.0042105,0.999
ListIterator_Set,mock,mock-model,random,few,3,util,ere,1772371827.0082183,1772371827.0092087,0.99
List_UnsafeListIterator,mock,mock-model,random,few,3,lang,ere,1772371827.0122092,1772371827.0122092,0.0
List_UnsynchronizedSubList,mock,mock-model,random,few,3,io,ere,1772371827.0152085,1772371827.0152085,0.0
Map_CollectionViewAdd,mock,mock-model,random,few,3,net,ere,1772371827.018209,1772371827.0192075,0.998
Map_UnsafeIterator,mock,mock-model,random,few,3,lang,ere,1772371827.0212083,1772371827.0212083,0.0
Map_UnsynchronizedAddAll,mock,mock-model,random,few,3,util,ere,1772371827.0242095,1772371827.0252092,1.0
Math_ContendedRandom,mock,mock-model,random,few,3,util,ere,1772371827.0282114,1772371827.0282114,0.0
NavigableMap_Modification,mock,mock-model,random,few,3,util,ere,1772371827.030207,1772371827.0312073,1.0
NavigableMap_UnsafeIterator,mock,mock-model,random,few,3,util,ere,1772371827.0332081,1772371827.0342085,1.0
NavigableSet_Modification,mock,mock-model,random,few,3,io,ere,1772371827.0362072,1772371827.0362072,0.0
OutputStream_ManipulateAfterClose,mock,mock-model,random,few,3,util,ere,1772371827.0393286,1772371827.0402079,0.879
PipedStream_SingleThread,mock,mock-model,random,few,3,io,ere,1772371827.0432086,1772371827.0442078,0.999
ProcessBuilder_NullKeyOrValue,mock,mock-model,random,few,3,net,ere,1772371827.0462122,1772371827.0472093,0.997
ProcessBuilder_ThreadSafe,mock,mock-model,random,few,3,io,ere,1772371827.0492082,1772371827.0492082,0.0
Properties_ManipulateAfterLoad,mock,mock-model,random,few,3,lang,ere,1772371827.051247,1772371827.0522158,0.969
PushbackInputStream_UnreadAheadLimit,mock,mock-model,random,few,3,lang,ere,1772371827.0542095,1772371827.0542095,0.0
RandomAccessFile_ManipulateAfterClose,mock,mock-model,random,few,3,lang,ere,1772371827.0572076,1772371827.058209,1.001
Reader_ManipulateAfterClose,mock,mock-model,random,few,3,io,ere,1772371827.0602112,1772371827.0612223,1.011
Reader_ReadAheadLimit,mock,mock-model,random,few,3,lang,ere,1772371827.0642078,1772371827.0642078,0.0
Reader_UnmarkedReset,mock,mock-model,random,few,3,net,ere,1772371827.0672092,1772371827.0672092,0.0
ResourceBundleControl_MutateFormatList,mock,mock-model,random,few,3,util,ere,1772371827.06921,1772371827.0702088,0.999
