id,provider,model,selection,shot_mode,k,domain,ir_type,start_timestamp,end_timestamp,generation_time_ms
BufferedInputStream_SynchronizedFill,Claube,claude-sonnet-4-6,mmr,few,3,io,ere,1777550399.9828517,1777550404.7824183,4799.567
Closeable_MultipleClose,Claube,claude-sonnet-4-6,mmr,few,3,io,ere,1777550404.800743,1777550409.7347453,4934.002
Collections_NewSetFromMap,Claube,claude-sonnet-4-6,mmr,few,3,util,ere,1777550409.7605023,1777550420.7239652,10963.463
Console_CloseReader,Claube,claude-sonnet-4-6,mmr,few,3,io,ere,1777550456.3329804,1777550461.7394962,5406.516
Console_CloseWriter,Claube,claude-sonnet-4-6,mmr,few,3,io,ere,1777550461.7788565,1777550468.409032,6630.176
Deque_OfferRatherThanAdd,Claube,claude-sonnet-4-6,mmr,few,3,util,ere,1777550468.4381309,1777550476.9136493,8475.518
Dictionary_Obsolete,Claube,claude-sonnet-4-6,mmr,few,3,util,ere,1777550476.9356432,1777550482.5455725,5609.929
Enumeration_Obsolete,Claube,claude-sonnet-4-6,mmr,few,3,util,ere,1777550482.5744708,1777550487.871324,5296.853
InputStream_MarkAfterClose,Claube,claude-sonnet-4-6,mmr,few,3,io,ere,1777550509.3265364,1777550515.1105957,5784.059
InputStream_UnmarkedReset,Claube,claude-sonnet-4-6,mmr,few,3,io,ere,1777550525.8275025,1777550532.7774487,6949.946
Iterator_RemoveOnce,Claube,claude-sonnet-4-6,mmr,few,3,util,ere,1777550532.8054368,1777550538.4068763,5601.439
ListIterator_RemoveOnce,Claube,claude-sonnet-4-6,mmr,few,3,util,ere,1777550538.4384832,1777550547.1328995,8694.416
Map_CollectionViewAdd,Claube,claude-sonnet-4-6,mmr,few,3,util,ere,1777550574.2179353,1777550582.9394844,8721.549
Math_ContendedRandom,Claube,claude-sonnet-4-6,mmr,few,3,lang,ere,1777550602.0626485,1777550611.0445912,8981.943
OutputStream_ManipulateAfterClose,Claube,claude-sonnet-4-6,mmr,few,3,io,ere,1777550635.6962657,1777550644.0219517,8325.686
ProcessBuilder_ThreadSafe,Claube,claude-sonnet-4-6,mmr,few,3,lang,ere,1777550659.509054,1777550669.3267126,9817.659
RandomAccessFile_ManipulateAfterClose,Claube,claude-sonnet-4-6,mmr,few,3,io,ere,1777550687.818421,1777550693.8963206,6077.9
Reader_ManipulateAfterClose,Claube,claude-sonnet-4-6,mmr,few,3,io,ere,1777550693.9251957,1777550700.8199341,6894.738
Reader_UnmarkedReset,Claube,claude-sonnet-4-6,mmr,few,3,io,ere,1777550708.6100426,1777550717.1973186,8587.276
ResourceBundleControl_MutateFormatList,Claube,claude-sonnet-4-6,mmr,few,3,util,ere,1777550717.2203052,1777550723.8768446,6656.539
Scanner_SearchAfterClose,Claube,claude-sonnet-4-6,mmr,few,3,util,ere,1777550734.5324144,1777550741.7043962,7171.982
SecurityManager_Permission,Claube,claude-sonnet-4-6,mmr,few,3,lang,ere,1777550741.7292016,1777550748.3246863,6595.485
ServerSocket_PerformancePreferences,Claube,claude-sonnet-4-6,mmr,few,3,net,ere,1777550759.2399364,1777550768.7230911,9483.155
ServerSocket_ReuseAddress,Claube,claude-sonnet-4-6,mmr,few,3,net,ere,1777550768.7477796,1777550776.263036,7515.256
ServerSocket_SetTimeoutBeforeBlocking,Claube,claude-sonnet-4-6,mmr,few,3,net,ere,1777550776.2939794,1777550784.1556337,7861.654
ServiceLoaderIterator_Remove,Claube,claude-sonnet-4-6,mmr,few,3,util,ere,1777550784.1825886,1777550790.3548162,6172.228
ShutdownHook_LateRegister,Claube,claude-sonnet-4-6,mmr,few,3,lang,ere,1777550798.1612983,1777550806.9695463,8808.248
SocketImpl_CloseOutput,Claube,claude-sonnet-4-6,mmr,few,3,net,ere,1777550806.9902904,1777550816.5919523,9601.662
Socket_CloseInput,Claube,claude-sonnet-4-6,mmr,few,3,net,ere,1777550816.6219523,1777550823.482958,6861.006
Socket_CloseOutput,Claube,claude-sonnet-4-6,mmr,few,3,net,ere,1777550823.5099273,1777550830.8784158,7368.489
Socket_ReuseSocket,Claube,claude-sonnet-4-6,mmr,few,3,net,ere,1777550878.89088,1777550885.4928722,6601.992
StrictMath_ContendedRandom,Claube,claude-sonnet-4-6,mmr,few,3,lang,ere,1777550885.5146666,1777550893.6069756,8092.309
StringBuffer_SingleThreadUsage,Claube,claude-sonnet-4-6,mmr,few,3,lang,ere,1777550893.6289322,1777550902.8923914,9263.459
StringBuilder_ThreadSafe,Claube,claude-sonnet-4-6,mmr,few,3,lang,ere,1777550902.9134328,1777550910.073283,7159.85
Thread_SetDaemonBeforeStart,Claube,claude-sonnet-4-6,mmr,few,3,lang,ere,1777550918.1303947,1777550924.7174387,6587.044
Thread_StartOnce,Claube,claude-sonnet-4-6,mmr,few,3,lang,ere,1777550924.7374744,1777550929.7222762,4984.802
Throwable_InitCauseOnce,Claube,claude-sonnet-4-6,mmr,few,3,lang,ere,1777550929.7402775,1777550938.8460183,9105.741
URL_SetURLStreamHandlerFactory,Claube,claude-sonnet-4-6,mmr,few,3,net,ere,1777550956.936106,1777550960.8723526,3936.247
Writer_ManipulateAfterClose,Claube,claude-sonnet-4-6,mmr,few,3,io,ere,1777550960.8983464,1777550970.0378451,9139.499
