id,provider,model,selection,shot_mode,k,domain,ir_type,start_timestamp,end_timestamp,generation_time_ms
Appendable_ThreadSafe,DeepSeek,deepseek-v4-pro,mmr,few,3,lang,ere,1778066704.6432009,1778066805.6732712,101030.07
ArrayDeque_UnsafeIterator,DeepSeek,deepseek-v4-pro,mmr,few,3,util,ere,1778066805.6902797,1778066929.7980661,124107.786
BufferedInputStream_SynchronizedFill,DeepSeek,deepseek-v4-pro,mmr,few,3,io,ere,1778066929.8183057,1778066966.6412783,36822.973
Closeable_MultipleClose,DeepSeek,deepseek-v4-pro,mmr,few,3,io,ere,1778066966.6572175,1778067010.6088986,43951.681
Collections_NewSetFromMap,DeepSeek,deepseek-v4-pro,mmr,few,3,util,ere,1778067010.6278212,1778067070.4839334,59856.112
Collections_SynchronizedCollection,DeepSeek,deepseek-v4-pro,mmr,few,3,util,ere,1778067070.5214784,1778067269.9763453,199454.867
Collections_SynchronizedMap,DeepSeek,deepseek-v4-pro,mmr,few,3,util,ere,1778067270.0133345,1778067358.4759717,88462.637
Collection_UnsafeIterator,DeepSeek,deepseek-v4-pro,mmr,few,3,util,ere,1778067358.4950042,1778067422.51202,64017.016
Collection_UnsynchronizedAddAll,DeepSeek,deepseek-v4-pro,mmr,few,3,util,ere,1778067422.5340898,1778067492.7303014,70196.212
Console_CloseReader,DeepSeek,deepseek-v4-pro,mmr,few,3,io,ere,1778067492.7502475,1778067534.0511818,41300.934
Console_CloseWriter,DeepSeek,deepseek-v4-pro,mmr,few,3,io,ere,1778067534.0652328,1778067581.102151,47036.918
Deque_OfferRatherThanAdd,DeepSeek,deepseek-v4-pro,mmr,few,3,util,ere,1778067581.1171515,1778067648.9549935,67837.842
Dictionary_Obsolete,DeepSeek,deepseek-v4-pro,mmr,few,3,util,ere,1778067648.9761384,1778067678.012999,29036.861
Enumeration_Obsolete,DeepSeek,deepseek-v4-pro,mmr,few,3,util,ere,1778067678.031012,1778067700.074027,22043.015
HttpURLConnection_SetBeforeConnect,DeepSeek,deepseek-v4-pro,mmr,few,3,net,ere,1778067700.0961864,1778067848.6439364,148547.75
InputStream_ManipulateAfterClose,DeepSeek,deepseek-v4-pro,mmr,few,3,io,ere,1778067848.6638885,1778067933.883674,85219.785
InputStream_MarkAfterClose,DeepSeek,deepseek-v4-pro,mmr,few,3,io,ere,1778067933.9036016,1778067980.1944113,46290.81
InputStream_ReadAheadLimit,DeepSeek,deepseek-v4-pro,mmr,few,3,io,ere,1778067980.210508,1778068128.5763378,148365.83
InputStream_UnmarkedReset,DeepSeek,deepseek-v4-pro,mmr,few,3,io,ere,1778068128.5920284,1778068243.1553528,114563.324
Iterator_RemoveOnce,DeepSeek,deepseek-v4-pro,mmr,few,3,util,ere,1778068243.1743312,1778068320.8561754,77681.844
ListIterator_RemoveOnce,DeepSeek,deepseek-v4-pro,mmr,few,3,util,ere,1778068320.8692324,1778068413.817508,92948.276
ListIterator_Set,DeepSeek,deepseek-v4-pro,mmr,few,3,util,ere,1778068413.8325353,1778068543.5187883,129686.253
