id,provider,model,selection,shot_mode,k,domain,ir_type,start_timestamp,end_timestamp,generation_time_ms
Appendable_ThreadSafe,Claube,claude-sonnet-4-6,mmr_irsp,few,3,lang,ere,1777553192.9404507,1777553203.383552,10443.101
ArrayDeque_UnsafeIterator,Claube,claude-sonnet-4-6,mmr_irsp,few,3,util,ere,1777553203.4015496,1777553211.228298,7826.748
BufferedInputStream_SynchronizedFill,Claube,claude-sonnet-4-6,mmr_irsp,few,3,io,ere,1777553211.253501,1777553217.1524365,5898.936
Closeable_MultipleClose,Claube,claude-sonnet-4-6,mmr_irsp,few,3,io,ere,1777553217.180398,1777553222.6085703,5428.172
Collections_NewSetFromMap,Claube,claude-sonnet-4-6,mmr_irsp,few,3,util,ere,1777553222.6353037,1777553230.1536522,7518.348
Collections_SynchronizedCollection,Claube,claude-sonnet-4-6,mmr_irsp,few,3,util,ere,1777553230.178339,1777553240.4756534,10297.314
Collections_SynchronizedMap,Claube,claude-sonnet-4-6,mmr_irsp,few,3,util,ere,1777553240.5054152,1777553248.5637844,8058.369
Collection_UnsafeIterator,Claube,claude-sonnet-4-6,mmr_irsp,few,3,util,ere,1777553248.5888138,1777553256.8800921,8291.278
Collection_UnsynchronizedAddAll,Claube,claude-sonnet-4-6,mmr_irsp,few,3,util,ere,1777553256.9001522,1777553267.0679054,10167.753
Console_CloseReader,Claube,claude-sonnet-4-6,mmr_irsp,few,3,io,ere,1777553267.0936842,1777553272.7990396,5705.355
Console_CloseWriter,Claube,claude-sonnet-4-6,mmr_irsp,few,3,io,ere,1777553272.8310862,1777553278.2226312,5391.545
Deque_OfferRatherThanAdd,Claube,claude-sonnet-4-6,mmr_irsp,few,3,util,ere,1777553278.2384017,1777553285.7127502,7474.349
Dictionary_Obsolete,Claube,claude-sonnet-4-6,mmr_irsp,few,3,util,ere,1777553285.7405024,1777553290.0397816,4299.279
Enumeration_Obsolete,Claube,claude-sonnet-4-6,mmr_irsp,few,3,util,ere,1777553290.0657265,1777553295.4571648,5391.438
HttpURLConnection_SetBeforeConnect,Claube,claude-sonnet-4-6,mmr_irsp,few,3,net,ere,1777553295.4799964,1777553302.9261296,7446.133
InputStream_ManipulateAfterClose,Claube,claude-sonnet-4-6,mmr_irsp,few,3,io,ere,1777553302.954115,1777553310.824777,7870.662
InputStream_MarkAfterClose,Claube,claude-sonnet-4-6,mmr_irsp,few,3,io,ere,1777553310.8535607,1777553317.8986664,7045.106
InputStream_ReadAheadLimit,Claube,claude-sonnet-4-6,mmr_irsp,few,3,io,ere,1777553317.9292471,1777553329.149082,11219.835
InputStream_UnmarkedReset,Claube,claude-sonnet-4-6,mmr_irsp,few,3,io,ere,1777553329.1848867,1777553337.63717,8452.283
Iterator_RemoveOnce,Claube,claude-sonnet-4-6,mmr_irsp,few,3,util,ere,1777553337.6711266,1777553344.7450254,7073.899
ListIterator_RemoveOnce,Claube,claude-sonnet-4-6,mmr_irsp,few,3,util,ere,1777553344.7744496,1777553351.6936924,6919.243
