id,provider,model,selection,shot_mode,k,domain,ir_type,start_timestamp,end_timestamp,generation_time_ms
Appendable_ThreadSafe,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,lang,ere,1778079230.8983705,1778079337.97171,107073.339
ArrayDeque_UnsafeIterator,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778079337.9878197,1778079408.910604,70922.784
BufferedInputStream_SynchronizedFill,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,io,ere,1778079408.9264753,1778079428.6017113,19675.236
Closeable_MultipleClose,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,io,ere,1778079428.617714,1778079497.4665244,68848.81
Collections_NewSetFromMap,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778079497.49832,1778079558.3936481,60895.328
Collections_SynchronizedCollection,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778079558.4128227,1778079836.7348757,278322.053
Collections_SynchronizedMap,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778079836.7529387,1778079951.9158394,115162.901
Collection_UnsafeIterator,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778079951.935768,1778080021.5680535,69632.286
Collection_UnsynchronizedAddAll,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778080021.5928438,1778080076.6781712,55085.327
Console_CloseReader,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,io,ere,1778080076.8352437,1778080126.9169207,50081.677
Console_CloseWriter,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,io,ere,1778080126.9300673,1778080181.8683305,54938.263
Deque_OfferRatherThanAdd,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778080181.8952913,1778080229.7707648,47875.473
Dictionary_Obsolete,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778080229.7888513,1778080257.1268778,27338.027
Enumeration_Obsolete,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778080257.1428783,1778080284.9275703,27784.692
HttpURLConnection_SetBeforeConnect,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,net,ere,1778080284.9446588,1778080454.678851,169734.192
InputStream_ManipulateAfterClose,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,io,ere,1778080454.696837,1778080543.2096202,88512.783
InputStream_MarkAfterClose,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,io,ere,1778080543.2246206,1778080591.0335422,47808.922
InputStream_ReadAheadLimit,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,io,ere,1778080591.0445817,1778080747.3316643,156287.083
InputStream_UnmarkedReset,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,io,ere,1778080747.350555,1778080901.9016223,154551.067
Iterator_RemoveOnce,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778080901.921521,1778080971.2344673,69312.946
ListIterator_RemoveOnce,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778080971.2646163,1778081049.543414,78278.798
ListIterator_Set,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778081049.5644116,1778081170.3141468,120749.735
List_UnsafeListIterator,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778081170.3330543,1778081222.6646552,52331.601
List_UnsynchronizedSubList,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778081222.6805332,1778081270.845891,48165.358
Map_CollectionViewAdd,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778081270.8658295,1778081336.367202,65501.373
Map_UnsafeIterator,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778081336.388215,1778081443.2960699,106907.855
Map_UnsynchronizedAddAll,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778081443.3142056,1778081498.47853,55164.324
Math_ContendedRandom,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,lang,ere,1778081498.4993343,1778081595.5841308,97084.796
NavigableMap_Modification,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778081595.6091213,1778081717.847861,122238.74
NavigableMap_UnsafeIterator,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778081717.8650267,1778081851.5982409,133733.214
NavigableSet_Modification,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,util,ere,1778081851.6171877,1778081977.779569,126162.381
OutputStream_ManipulateAfterClose,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,io,ere,1778081977.7965667,1778082042.6905284,64893.962
PipedStream_SingleThread,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,io,ere,1778082042.7164903,1778082150.8007667,108084.276
ProcessBuilder_NullKeyOrValue,DeepSeek,deepseek-v4-pro,mmr_irsp,few,3,lang,ere,1778082150.8187687,1778082257.6428983,106824.13
