id,provider,model,selection,shot_mode,k,domain,ir_type,start_timestamp,end_timestamp,generation_time_ms
Appendable_ThreadSafe,openAI,gpt-4o,mmr_irsp,few,3,lang,ere,1777920503.220917,1777920513.085379,9864.462
ArrayDeque_UnsafeIterator,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1777920513.1002922,1777920520.3289826,7228.69
BufferedInputStream_SynchronizedFill,openAI,gpt-4o,mmr_irsp,few,3,io,ere,1777920520.350949,1777920523.177391,2826.442
Closeable_MultipleClose,openAI,gpt-4o,mmr_irsp,few,3,io,ere,1777920523.1984975,1777920526.3454125,3146.915
Collections_NewSetFromMap,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1777920526.3716445,1777920532.0019855,5630.341
Collections_SynchronizedCollection,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1777920532.0340133,1777920538.1147747,6080.761
Collections_SynchronizedMap,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1777920538.1377254,1777920547.4690933,9331.368
Collection_UnsafeIterator,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1777920547.490863,1777920553.1457567,5654.894
Collection_UnsynchronizedAddAll,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1777920553.170739,1777920558.6632955,5492.557
Console_CloseReader,openAI,gpt-4o,mmr_irsp,few,3,io,ere,1777920558.6954217,1777920562.2294734,3534.052
Console_CloseWriter,openAI,gpt-4o,mmr_irsp,few,3,io,ere,1777920562.2549312,1777920570.5195298,8264.599
Deque_OfferRatherThanAdd,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1777920570.5374942,1777920575.71936,5181.866
Dictionary_Obsolete,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1777920575.745469,1777920578.3398273,2594.358
Enumeration_Obsolete,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1777920578.3617818,1777920581.0366516,2674.87
HttpURLConnection_SetBeforeConnect,openAI,gpt-4o,mmr_irsp,few,3,net,ere,1777920581.0586975,1777920589.5450795,8486.382
InputStream_ManipulateAfterClose,openAI,gpt-4o,mmr_irsp,few,3,io,ere,1777920589.5808117,1777920594.472728,4891.916
InputStream_MarkAfterClose,openAI,gpt-4o,mmr_irsp,few,3,io,ere,1777920594.5015109,1777920597.8083367,3306.826
InputStream_ReadAheadLimit,openAI,gpt-4o,mmr_irsp,few,3,io,ere,1777920597.8332882,1777920613.3695881,15536.3
InputStream_UnmarkedReset,openAI,gpt-4o,mmr_irsp,few,3,io,ere,1777920613.3925812,1777920617.338767,3946.186
Iterator_RemoveOnce,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1777920617.350831,1777920622.4492788,5098.448
ListIterator_RemoveOnce,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1777920622.474229,1777920626.7226012,4248.372
ListIterator_Set,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1777920626.7552912,1777920634.0871446,7331.853
List_UnsafeListIterator,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1777920634.1111922,1777920640.2845929,6173.401
List_UnsynchronizedSubList,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1777920640.306362,1777920646.0453038,5738.942
