id,provider,model,selection,shot_mode,k,domain,ir_type,start_timestamp,end_timestamp,generation_time_ms
Appendable_ThreadSafe,openAI,gpt-4o,mmr_irsp,few,3,lang,ere,1775671496.0677648,1775671506.7903042,10722.539
ArrayDeque_UnsafeIterator,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1775671506.8246317,1775671516.664887,9840.255
BufferedInputStream_SynchronizedFill,openAI,gpt-4o,mmr_irsp,few,3,io,ere,1775671516.715537,1775671521.040871,4325.334
Closeable_MultipleClose,openAI,gpt-4o,mmr_irsp,few,3,io,ere,1775671521.070626,1775671525.5846305,4514.004
Collections_SynchronizedCollection,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1775671525.621838,1775671537.4269247,11805.087
Collection_UnsynchronizedAddAll,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1775671537.4719143,1775671545.1467717,7674.857
Console_CloseReader,openAI,gpt-4o,mmr_irsp,few,3,io,ere,1775671545.1986468,1775671549.9408414,4742.195
Dictionary_Obsolete,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1775671549.9805682,1775671555.3421383,5361.57
HttpURLConnection_SetBeforeConnect,openAI,gpt-4o,mmr_irsp,few,3,net,ere,1775671555.3802204,1775671567.9836175,12603.397
InputStream_MarkAfterClose,openAI,gpt-4o,mmr_irsp,few,3,io,ere,1775671568.0437317,1775671574.1146116,6070.88
Iterator_RemoveOnce,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1775671574.1446295,1775671580.8119144,6667.285
List_UnsynchronizedSubList,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1775671580.8349292,1775671616.7554207,35920.491
Map_CollectionViewAdd,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1775671616.8163607,1775671627.4684095,10652.049
Map_UnsynchronizedAddAll,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1775671627.5154634,1775671638.8744233,11358.96
Math_ContendedRandom,openAI,gpt-4o,mmr_irsp,few,3,lang,ere,1775671638.9255128,1775671645.38388,6458.367
NavigableMap_UnsafeIterator,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1775671645.430814,1775671661.7245235,16293.71
OutputStream_ManipulateAfterClose,openAI,gpt-4o,mmr_irsp,few,3,io,ere,1775671661.7823834,1775671670.177078,8394.695
PipedStream_SingleThread,openAI,gpt-4o,mmr_irsp,few,3,io,ere,1775671670.2121463,1775671687.0245728,16812.427
Properties_ManipulateAfterLoad,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1775671687.0874147,1775671696.6255088,9538.094
Reader_ReadAheadLimit,openAI,gpt-4o,mmr_irsp,few,3,io,ere,1775671696.6704087,1775671714.1962054,17525.797
ResourceBundleControl_MutateFormatList,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1775671714.2604103,1775671721.1005573,6840.147
Scanner_ManipulateAfterClose,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1775671721.143004,1775671739.840449,18697.445
SecurityManager_Permission,openAI,gpt-4o,mmr_irsp,few,3,lang,ere,1775671739.8995652,1775671746.7939205,6894.355
ServerSocket_LargeReceiveBuffer,openAI,gpt-4o,mmr_irsp,few,3,net,ere,1775671746.8286169,1775671754.3748207,7546.204
ServerSocket_ReuseAddress,openAI,gpt-4o,mmr_irsp,few,3,net,ere,1775671754.4273386,1775671763.3794188,8952.08
ServiceLoaderIterator_Remove,openAI,gpt-4o,mmr_irsp,few,3,util,ere,1775671763.4330413,1775671768.7197223,5286.681
SocketImpl_CloseOutput,openAI,gpt-4o,mmr_irsp,few,3,net,ere,1775671768.7605004,1775671775.2832181,6522.718
Socket_CloseInput,openAI,gpt-4o,mmr_irsp,few,3,net,ere,1775671775.3331795,1775671784.8571894,9524.01
Socket_OutputStreamUnavailable,openAI,gpt-4o,mmr_irsp,few,3,net,ere,1775671784.9030542,1775671797.049589,12146.535
StrictMath_ContendedRandom,openAI,gpt-4o,mmr_irsp,few,3,lang,ere,1775671797.116104,1775671805.8510284,8734.925
StringBuilder_ThreadSafe,openAI,gpt-4o,mmr_irsp,few,3,lang,ere,1775671805.8858697,1775671811.7889414,5903.072
Thread_SetDaemonBeforeStart,openAI,gpt-4o,mmr_irsp,few,3,lang,ere,1775671811.840402,1775671816.5604467,4720.045
URLConnection_SetBeforeConnect,openAI,gpt-4o,mmr_irsp,few,3,net,ere,1775671816.5974422,1775671827.5698574,10972.415
Writer_ManipulateAfterClose,openAI,gpt-4o,mmr_irsp,few,3,io,ere,1775671827.6230133,1775671835.3700287,7747.015
