id,provider,model,selection,shot_mode,k,domain,ir_type,start_timestamp,end_timestamp,generation_time_ms
Appendable_ThreadSafe,openAI,gpt-4o,mmr,few,3,lang,ere,1777491561.1461563,1777491567.1222692,5976.113
ArrayDeque_UnsafeIterator,openAI,gpt-4o,mmr,few,3,util,ere,1777491567.156268,1777491574.0697324,6913.465
BufferedInputStream_SynchronizedFill,openAI,gpt-4o,mmr,few,3,io,ere,1777491574.1106057,1777491577.9118972,3801.291
Closeable_MultipleClose,openAI,gpt-4o,mmr,few,3,io,ere,1777491577.9489305,1777491580.7666607,2817.73
Collections_NewSetFromMap,openAI,gpt-4o,mmr,few,3,util,ere,1777491580.7896318,1777491588.3179898,7528.358
Collections_SynchronizedCollection,openAI,gpt-4o,mmr,few,3,util,ere,1777491588.3558598,1777491596.2262518,7870.392
Collections_SynchronizedMap,openAI,gpt-4o,mmr,few,3,util,ere,1777491596.276244,1777491604.3199399,8043.696
Collection_UnsafeIterator,openAI,gpt-4o,mmr,few,3,util,ere,1777491604.3738835,1777491610.820603,6446.719
Collection_UnsynchronizedAddAll,openAI,gpt-4o,mmr,few,3,util,ere,1777491610.8735876,1777491617.7570233,6883.436
Console_CloseReader,openAI,gpt-4o,mmr,few,3,io,ere,1777491617.7928753,1777491621.0558257,3262.95
Console_CloseWriter,openAI,gpt-4o,mmr,few,3,io,ere,1777491621.080598,1777491624.789171,3708.573
Deque_OfferRatherThanAdd,openAI,gpt-4o,mmr,few,3,util,ere,1777491624.832215,1777491628.9387422,4106.527
Dictionary_Obsolete,openAI,gpt-4o,mmr,few,3,util,ere,1777491628.9736395,1777491632.1956177,3221.978
Enumeration_Obsolete,openAI,gpt-4o,mmr,few,3,util,ere,1777491632.2404819,1777491635.1928186,2952.337
HttpURLConnection_SetBeforeConnect,openAI,gpt-4o,mmr,few,3,net,ere,1777491635.2366085,1777491645.5374827,10300.874
InputStream_ManipulateAfterClose,openAI,gpt-4o,mmr,few,3,io,ere,1777491645.5933535,1777491649.8869965,4293.643
InputStream_MarkAfterClose,openAI,gpt-4o,mmr,few,3,io,ere,1777491649.9350967,1777491653.5253644,3590.268
InputStream_ReadAheadLimit,openAI,gpt-4o,mmr,few,3,io,ere,1777491653.5753126,1777491661.5982325,8022.92
InputStream_UnmarkedReset,openAI,gpt-4o,mmr,few,3,io,ere,1777491661.647138,1777491665.839103,4191.965
Iterator_RemoveOnce,openAI,gpt-4o,mmr,few,3,util,ere,1777491665.8721695,1777491669.2557068,3383.537
ListIterator_RemoveOnce,openAI,gpt-4o,mmr,few,3,util,ere,1777491669.2907915,1777491673.1585765,3867.785
ListIterator_Set,openAI,gpt-4o,mmr,few,3,util,ere,1777491673.1905751,1777491681.3771799,8186.605
List_UnsafeListIterator,openAI,gpt-4o,mmr,few,3,util,ere,1777491681.421091,1777491687.4779391,6056.848
List_UnsynchronizedSubList,openAI,gpt-4o,mmr,few,3,util,ere,1777491687.5240376,1777491694.358896,6834.858
Map_CollectionViewAdd,openAI,gpt-4o,mmr,few,3,util,ere,1777491694.4068413,1777491701.9339387,7527.097
Map_UnsafeIterator,openAI,gpt-4o,mmr,few,3,util,ere,1777491701.9818826,1777491717.5495915,15567.709
Map_UnsynchronizedAddAll,openAI,gpt-4o,mmr,few,3,util,ere,1777491717.6154609,1777491725.2055657,7590.105
