id,provider,model,selection,shot_mode,k,domain,ir_type,start_timestamp,end_timestamp,generation_time_ms
Appendable_ThreadSafe,openAI,gpt-4o,mmr,few,3,lang,ere,1775671132.1347642,1775671141.948602,9813.838
ArrayDeque_UnsafeIterator,openAI,gpt-4o,mmr,few,3,util,ere,1775671141.980521,1775671150.130949,8150.428
BufferedInputStream_SynchronizedFill,openAI,gpt-4o,mmr,few,3,io,ere,1775671150.1893165,1775671154.3792036,4189.887
Closeable_MultipleClose,openAI,gpt-4o,mmr,few,3,io,ere,1775671154.4091446,1775671158.1777954,3768.651
Collections_SynchronizedCollection,openAI,gpt-4o,mmr,few,3,util,ere,1775671158.2098064,1775671167.5693712,9359.565
Collection_UnsynchronizedAddAll,openAI,gpt-4o,mmr,few,3,util,ere,1775671167.6242602,1775671177.3153794,9691.119
Console_CloseReader,openAI,gpt-4o,mmr,few,3,io,ere,1775671177.3719387,1775671182.4627848,5090.846
Dictionary_Obsolete,openAI,gpt-4o,mmr,few,3,util,ere,1775671182.4958646,1775671185.9193041,3423.44
HttpURLConnection_SetBeforeConnect,openAI,gpt-4o,mmr,few,3,net,ere,1775671185.9621282,1775671197.669608,11707.48
InputStream_MarkAfterClose,openAI,gpt-4o,mmr,few,3,io,ere,1775671197.7102373,1775671204.2680745,6557.837
Iterator_RemoveOnce,openAI,gpt-4o,mmr,few,3,util,ere,1775671204.3051922,1775671211.9187853,7613.593
List_UnsynchronizedSubList,openAI,gpt-4o,mmr,few,3,util,ere,1775671211.9637315,1775671223.5891163,11625.385
Map_CollectionViewAdd,openAI,gpt-4o,mmr,few,3,util,ere,1775671223.6436634,1775671230.529277,6885.614
Map_UnsynchronizedAddAll,openAI,gpt-4o,mmr,few,3,util,ere,1775671230.5552406,1775671239.6796746,9124.434
Math_ContendedRandom,openAI,gpt-4o,mmr,few,3,lang,ere,1775671239.7284758,1775671245.606023,5877.547
NavigableMap_UnsafeIterator,openAI,gpt-4o,mmr,few,3,util,ere,1775671245.640061,1775671256.8435922,11203.531
OutputStream_ManipulateAfterClose,openAI,gpt-4o,mmr,few,3,io,ere,1775671256.9065316,1775671263.710498,6803.967
PipedStream_SingleThread,openAI,gpt-4o,mmr,few,3,io,ere,1775671263.7536216,1775671278.2886555,14535.034
Properties_ManipulateAfterLoad,openAI,gpt-4o,mmr,few,3,util,ere,1775671278.3429956,1775671286.6437535,8300.758
Reader_ReadAheadLimit,openAI,gpt-4o,mmr,few,3,io,ere,1775671286.6958025,1775671299.2893841,12593.582
ResourceBundleControl_MutateFormatList,openAI,gpt-4o,mmr,few,3,util,ere,1775671299.3313847,1775671305.6677513,6336.367
Scanner_ManipulateAfterClose,openAI,gpt-4o,mmr,few,3,util,ere,1775671305.7305684,1775671318.3648865,12634.318
SecurityManager_Permission,openAI,gpt-4o,mmr,few,3,lang,ere,1775671318.4197302,1775671323.9684289,5548.699
ServerSocket_LargeReceiveBuffer,openAI,gpt-4o,mmr,few,3,net,ere,1775671324.0142512,1775671331.8302054,7815.954
ServerSocket_ReuseAddress,openAI,gpt-4o,mmr,few,3,net,ere,1775671331.862526,1775671339.6996572,7837.131
ServiceLoaderIterator_Remove,openAI,gpt-4o,mmr,few,3,util,ere,1775671339.739975,1775671345.135173,5395.198
SocketImpl_CloseOutput,openAI,gpt-4o,mmr,few,3,net,ere,1775671345.177173,1775671353.762459,8585.286
Socket_CloseInput,openAI,gpt-4o,mmr,few,3,net,ere,1775671353.8041449,1775671361.2999024,7495.758
Socket_OutputStreamUnavailable,openAI,gpt-4o,mmr,few,3,net,ere,1775671361.3399587,1775671373.8707774,12530.819
StrictMath_ContendedRandom,openAI,gpt-4o,mmr,few,3,lang,ere,1775671373.9201143,1775671379.7689118,5848.798
StringBuilder_ThreadSafe,openAI,gpt-4o,mmr,few,3,lang,ere,1775671379.7968543,1775671386.6106713,6813.817
Thread_SetDaemonBeforeStart,openAI,gpt-4o,mmr,few,3,lang,ere,1775671386.64367,1775671394.0917523,7448.082
URLConnection_SetBeforeConnect,openAI,gpt-4o,mmr,few,3,net,ere,1775671394.1177537,1775671403.2394078,9121.654
Writer_ManipulateAfterClose,openAI,gpt-4o,mmr,few,3,io,ere,1775671403.2785325,1775671409.2113318,5932.799
