id,provider,model,selection,shot_mode,k,domain,ir_type,start_timestamp,end_timestamp,generation_time_ms
BufferedInputStream_SynchronizedFill,Claube,claude-sonnet-4-6,random,few,3,io,ere,1777548060.964717,1777548065.9140103,4949.293
Closeable_MultipleClose,Claube,claude-sonnet-4-6,random,few,3,io,ere,1777548065.9489863,1777548070.858538,4909.552
Collections_NewSetFromMap,Claube,claude-sonnet-4-6,random,few,3,util,ere,1777548070.9146888,1777548078.5315301,7616.841
Console_CloseReader,Claube,claude-sonnet-4-6,random,few,3,io,ere,1777548114.6783652,1777548121.6675556,6989.19
Console_CloseWriter,Claube,claude-sonnet-4-6,random,few,3,io,ere,1777548121.7076967,1777548127.0074248,5299.728
Deque_OfferRatherThanAdd,Claube,claude-sonnet-4-6,random,few,3,util,ere,1777548127.040303,1777548135.3800356,8339.733
Dictionary_Obsolete,Claube,claude-sonnet-4-6,random,few,3,util,ere,1777548135.4216835,1777548139.497615,4075.932
Enumeration_Obsolete,Claube,claude-sonnet-4-6,random,few,3,util,ere,1777548139.524552,1777548143.8359761,4311.424
InputStream_MarkAfterClose,Claube,claude-sonnet-4-6,random,few,3,io,ere,1777548159.4368143,1777548166.0792494,6642.435
InputStream_UnmarkedReset,Claube,claude-sonnet-4-6,random,few,3,io,ere,1777548176.9507885,1777548185.2507136,8299.925
Iterator_RemoveOnce,Claube,claude-sonnet-4-6,random,few,3,util,ere,1777548185.2935514,1777548190.5422418,5248.69
ListIterator_RemoveOnce,Claube,claude-sonnet-4-6,random,few,3,util,ere,1777548190.583228,1777548199.3330798,8749.852
Map_CollectionViewAdd,Claube,claude-sonnet-4-6,random,few,3,util,ere,1777548225.1638975,1777548232.113738,6949.841
Math_ContendedRandom,Claube,claude-sonnet-4-6,random,few,3,lang,ere,1777548248.0788305,1777548254.4304352,6351.605
OutputStream_ManipulateAfterClose,Claube,claude-sonnet-4-6,random,few,3,io,ere,1777548284.1304452,1777548291.0244732,6894.028
ProcessBuilder_ThreadSafe,Claube,claude-sonnet-4-6,random,few,3,lang,ere,1777548309.2694757,1777548318.8519914,9582.516
RandomAccessFile_ManipulateAfterClose,Claube,claude-sonnet-4-6,random,few,3,io,ere,1777548337.5666168,1777548345.202937,7636.32
Reader_ManipulateAfterClose,Claube,claude-sonnet-4-6,random,few,3,io,ere,1777548345.2578683,1777548353.7940345,8536.166
Reader_UnmarkedReset,Claube,claude-sonnet-4-6,random,few,3,io,ere,1777548364.6240058,1777548372.5939786,7969.973
ResourceBundleControl_MutateFormatList,Claube,claude-sonnet-4-6,random,few,3,util,ere,1777548372.6519563,1777548380.912101,8260.145
Scanner_SearchAfterClose,Claube,claude-sonnet-4-6,random,few,3,util,ere,1777548391.5693748,1777548398.795809,7226.434
SecurityManager_Permission,Claube,claude-sonnet-4-6,random,few,3,lang,ere,1777548398.872858,1777548405.3724086,6499.551
ServerSocket_PerformancePreferences,Claube,claude-sonnet-4-6,random,few,3,net,ere,1777548413.7103143,1777548421.1822417,7471.927
ServerSocket_ReuseAddress,Claube,claude-sonnet-4-6,random,few,3,net,ere,1777548421.23711,1777548431.2161949,9979.085
ServerSocket_SetTimeoutBeforeBlocking,Claube,claude-sonnet-4-6,random,few,3,net,ere,1777548431.2669353,1777548439.5684607,8301.525
ServiceLoaderIterator_Remove,Claube,claude-sonnet-4-6,random,few,3,util,ere,1777548439.5973713,1777548447.0518136,7454.442
ShutdownHook_LateRegister,Claube,claude-sonnet-4-6,random,few,3,lang,ere,1777548455.0802076,1777548462.6643803,7584.173
SocketImpl_CloseOutput,Claube,claude-sonnet-4-6,random,few,3,net,ere,1777548462.7194126,1777548472.2329798,9513.567
Socket_CloseInput,Claube,claude-sonnet-4-6,random,few,3,net,ere,1777548472.2859652,1777548481.043201,8757.236
Socket_CloseOutput,Claube,claude-sonnet-4-6,random,few,3,net,ere,1777548481.099179,1777548488.7662494,7667.07
Socket_ReuseSocket,Claube,claude-sonnet-4-6,random,few,3,net,ere,1777548534.3095915,1777548541.7238288,7414.237
StrictMath_ContendedRandom,Claube,claude-sonnet-4-6,random,few,3,lang,ere,1777548541.7737596,1777548547.8119156,6038.156
StringBuffer_SingleThreadUsage,Claube,claude-sonnet-4-6,random,few,3,lang,ere,1777548547.8480346,1777548555.3246667,7476.632
StringBuilder_ThreadSafe,Claube,claude-sonnet-4-6,random,few,3,lang,ere,1777548555.3755107,1777548562.6769936,7301.483
Thread_SetDaemonBeforeStart,Claube,claude-sonnet-4-6,random,few,3,lang,ere,1777548573.3663816,1777548580.1676998,6801.318
Thread_StartOnce,Claube,claude-sonnet-4-6,random,few,3,lang,ere,1777548580.2144332,1777548585.6018052,5387.372
Throwable_InitCauseOnce,Claube,claude-sonnet-4-6,random,few,3,lang,ere,1777548585.6267638,1777548594.6988556,9072.092
URL_SetURLStreamHandlerFactory,Claube,claude-sonnet-4-6,random,few,3,net,ere,1777548612.452682,1777548616.8089795,4356.297
Writer_ManipulateAfterClose,Claube,claude-sonnet-4-6,random,few,3,io,ere,1777548616.829981,1777548625.883969,9053.988
