id,provider,model,selection,shot_mode,k,domain,ir_type,start_timestamp,end_timestamp,generation_time_ms
Appendable_ThreadSafe,DeepSeek,deepseek-v4-pro,random,few,3,lang,ere,1778105182.383154,1778105364.1856318,181802.478
ArrayDeque_UnsafeIterator,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778105364.1886299,1778105466.6263757,102437.746
BufferedInputStream_SynchronizedFill,DeepSeek,deepseek-v4-pro,random,few,3,io,ere,1778105466.6605814,1778105505.4549491,38794.368
Closeable_MultipleClose,DeepSeek,deepseek-v4-pro,random,few,3,io,ere,1778105505.4779093,1778105538.82108,33343.171
Collections_NewSetFromMap,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778105538.8503442,1778105601.4015002,62551.156
Collections_SynchronizedCollection,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778105601.432309,1778105703.8164308,102384.122
Collections_SynchronizedMap,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778105703.845967,1778105803.0701702,99224.203
Collection_UnsafeIterator,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778105803.1018116,1778105879.4793084,76377.497
Collection_UnsynchronizedAddAll,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778105879.5021496,1778105959.0109842,79508.835
Console_CloseReader,DeepSeek,deepseek-v4-pro,random,few,3,io,ere,1778105959.0300221,1778105998.58034,39550.318
Console_CloseWriter,DeepSeek,deepseek-v4-pro,random,few,3,io,ere,1778105998.5978057,1778106044.95255,46354.744
Deque_OfferRatherThanAdd,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778106044.9705966,1778106103.0478437,58077.247
Dictionary_Obsolete,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778106103.079976,1778106118.3855333,15305.557
Enumeration_Obsolete,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778106118.4203687,1778106165.154686,46734.317
HttpURLConnection_SetBeforeConnect,DeepSeek,deepseek-v4-pro,random,few,3,net,ere,1778106165.1867557,1778106329.6349201,164448.164
InputStream_ManipulateAfterClose,DeepSeek,deepseek-v4-pro,random,few,3,io,ere,1778106329.6619475,1778106401.5596366,71897.689
InputStream_MarkAfterClose,DeepSeek,deepseek-v4-pro,random,few,3,io,ere,1778106401.5858757,1778106463.6927793,62106.904
InputStream_ReadAheadLimit,DeepSeek,deepseek-v4-pro,random,few,3,io,ere,1778106463.7197309,1778106599.9570818,136237.351
InputStream_UnmarkedReset,DeepSeek,deepseek-v4-pro,random,few,3,io,ere,1778106599.9788508,1778106666.3015268,66322.676
Iterator_RemoveOnce,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778106666.342678,1778106717.1488504,50806.172
ListIterator_RemoveOnce,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778106717.1706765,1778106779.9046335,62733.957
ListIterator_Set,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778106779.924637,1778106904.05799,124133.353
List_UnsafeListIterator,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778106904.077884,1778106965.7693195,61691.436
List_UnsynchronizedSubList,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778106965.7925422,1778107039.5512097,73758.667
Map_CollectionViewAdd,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778107039.5812626,1778107105.0149753,65433.713
Map_UnsafeIterator,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778107105.0409734,1778107214.7026706,109661.697
Map_UnsynchronizedAddAll,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778107214.7216706,1778107277.1828225,62461.152
Math_ContendedRandom,DeepSeek,deepseek-v4-pro,random,few,3,lang,ere,1778107277.2106578,1778107370.994791,93784.133
NavigableMap_Modification,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778107371.0236027,1778107511.984151,140960.548
NavigableMap_UnsafeIterator,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778107512.0121028,1778107587.187194,75175.091
NavigableSet_Modification,DeepSeek,deepseek-v4-pro,random,few,3,util,ere,1778107587.2141395,1778107686.568388,99354.249
OutputStream_ManipulateAfterClose,DeepSeek,deepseek-v4-pro,random,few,3,io,ere,1778107686.6001205,1778107752.5877757,65987.655
PipedStream_SingleThread,DeepSeek,deepseek-v4-pro,random,few,3,io,ere,1778107752.6185896,1778107874.0035732,121384.984
