id,provider,model,selection,shot_mode,k,domain,ir_type,start_timestamp,end_timestamp,generation_time_ms
Appendable_ThreadSafe,openAI,gpt-4o,random,one,1,lang,ere,1774460637.4971507,1774460648.0821838,10585.033
ArrayDeque_UnsafeIterator,openAI,gpt-4o,random,one,1,util,ere,1774460648.1065578,1774460657.4579527,9351.395
BufferedInputStream_SynchronizedFill,openAI,gpt-4o,random,one,1,io,ere,1774460657.5003116,1774460662.3921032,4891.792
Closeable_MultipleClose,openAI,gpt-4o,random,one,1,io,ere,1774460662.4345906,1774460667.418202,4983.611
Collections_SynchronizedCollection,openAI,gpt-4o,random,one,1,util,ere,1774460667.430676,1774460679.1546836,11724.008
Collection_UnsynchronizedAddAll,openAI,gpt-4o,random,one,1,util,ere,1774460679.2084038,1774460688.0502853,8841.882
Console_CloseReader,openAI,gpt-4o,random,one,1,io,ere,1774460688.0937388,1774460693.2204928,5126.754
Dictionary_Obsolete,openAI,gpt-4o,random,one,1,util,ere,1774460693.2420533,1774460696.6268916,3384.838
HttpURLConnection_SetBeforeConnect,openAI,gpt-4o,random,one,1,net,ere,1774460696.637286,1774460707.0123658,10375.08
InputStream_MarkAfterClose,openAI,gpt-4o,random,one,1,io,ere,1774460707.067591,1774460713.169148,6101.557
Iterator_RemoveOnce,openAI,gpt-4o,random,one,1,util,ere,1774460713.1941097,1774460719.1419532,5947.844
List_UnsynchronizedSubList,openAI,gpt-4o,random,one,1,util,ere,1774460719.1735766,1774460728.7355957,9562.019
Map_CollectionViewAdd,openAI,gpt-4o,random,one,1,util,ere,1774460728.760247,1774460734.859142,6098.895
Map_UnsynchronizedAddAll,openAI,gpt-4o,random,one,1,util,ere,1774460734.8933325,1774460741.5922039,6698.871
Math_ContendedRandom,openAI,gpt-4o,random,one,1,lang,ere,1774460741.6212113,1774460746.8498428,5228.631
OutputStream_ManipulateAfterClose,openAI,gpt-4o,random,one,1,io,ere,1774460746.8826058,1774460754.2136338,7331.028
Properties_ManipulateAfterLoad,openAI,gpt-4o,random,one,1,util,ere,1774460754.251595,1774460766.5188484,12267.253
Reader_ReadAheadLimit,openAI,gpt-4o,random,one,1,io,ere,1774460766.5478241,1774460781.9345372,15386.713
Scanner_ManipulateAfterClose,openAI,gpt-4o,random,one,1,util,ere,1774460781.976258,1774460791.063342,9087.084
SecurityManager_Permission,openAI,gpt-4o,random,one,1,lang,ere,1774460791.111845,1774460798.0079489,6896.104
ServerSocket_ReuseAddress,openAI,gpt-4o,random,one,1,net,ere,1774460798.034952,1774460805.4176133,7382.661
ServiceLoaderIterator_Remove,openAI,gpt-4o,random,one,1,util,ere,1774460805.451035,1774460810.5294502,5078.415
SocketImpl_CloseOutput,openAI,gpt-4o,random,one,1,net,ere,1774460810.5576005,1774460817.3737738,6816.173
Socket_CloseInput,openAI,gpt-4o,random,one,1,net,ere,1774460817.4086273,1774460824.12485,6716.223
Socket_OutputStreamUnavailable,openAI,gpt-4o,random,one,1,net,ere,1774460824.154882,1774460838.3399894,14185.107
StrictMath_ContendedRandom,openAI,gpt-4o,random,one,1,lang,ere,1774460838.401008,1774460845.9502974,7549.289
Thread_SetDaemonBeforeStart,openAI,gpt-4o,random,one,1,lang,ere,1774460845.9797468,1774460851.994299,6014.552
URLConnection_Connect,openAI,gpt-4o,random,one,1,net,ere,1774460852.0073037,1774460860.0370352,8029.732
URLConnection_SetBeforeConnect,openAI,gpt-4o,random,one,1,net,ere,1774460860.0729575,1774460873.838937,13765.98
Writer_ManipulateAfterClose,openAI,gpt-4o,random,one,1,io,ere,1774460873.869662,1774460879.7193792,5849.717
